pair_id,gt_found,gt_x,gt_y,total_cands,hit_1,hit_5,hit_10,hit_20,hit_50,hit_100,hit_200,hit_300,hit_500,hit_800,min_err_200,min_err_800
pair_112,1,448.691706059214,483.9684783690704,800,False,False,False,False,False,False,False,False,False,True,7.7845081099829905,0.07064864799369112
pair_113,1,324.3040343836874,661.3189144655241,800,False,False,False,False,False,False,True,True,True,True,0.09924270617179982,0.09924270617179982
pair_114,1,641.16389151336,405.91585793670015,326,False,False,False,True,True,True,True,True,True,True,4.582816746507567,4.094310220969678
pair_115,1,401.2870861782606,559.8881899220037,800,False,True,True,True,True,True,True,True,True,True,0.1407368916797258,0.1407368916797258
pair_116,1,404.1949591067989,597.3564869766575,316,False,True,True,True,True,True,True,True,True,True,0.13100196284124138,0.13100196284124138
pair_117,1,463.4485670873985,378.2863714063405,269,False,True,True,True,True,True,True,True,True,True,0.4110799793307682,0.4110799793307682
pair_118,1,665.9286433650714,383.7105126474083,800,False,False,False,False,False,False,False,False,True,True,6.891763216356917,2.0183306359834323
pair_119,1,567.9409966845091,458.0488132422573,800,False,False,False,False,False,False,False,False,False,True,13.482056795035207,3.126388617703489
pair_120,1,406.69402532252985,536.5093041663631,800,False,False,False,False,False,False,False,False,True,True,7.308433824305621,4.303806045642407
pair_121,1,627.6125774937187,393.331013610427,800,False,False,False,False,False,False,False,False,False,False,8.042774321668633,5.517651615600716
pair_122,1,455.3315298427642,564.6009564753156,313,True,True,True,True,True,True,True,True,True,True,0.023343503945104864,0.023343503945104864
pair_123,1,556.7602334876108,478.9354070031733,452,False,False,True,True,True,True,True,True,True,True,0.08332827640118325,0.08332827640118325
pair_124,1,654.7514722101861,534.3109309569012,800,False,False,False,False,False,False,False,False,False,False,11.804301822059678,11.804301822059678
pair_125,1,605.7903195195479,541.5417448911985,274,False,False,True,True,True,True,True,True,True,True,0.20487807679430986,0.20487807679430986
pair_126,1,539.2307783768355,480.9993138082922,311,True,True,True,True,True,True,True,True,True,True,0.1829637264323132,0.1829637264323132
pair_127,1,453.00874129807096,539.592610087729,800,False,False,False,False,False,False,False,False,True,True,6.2158542563254295,1.516838804958608
pair_128,1,378.857135586239,390.7316493533143,297,False,False,False,True,True,True,True,True,True,True,0.07339050976356895,0.07339050976356895
pair_129,1,382.2169275397297,544.7151733450952,766,True,True,True,True,True,True,True,True,True,True,0.12831153449305824,0.12831153449305824
pair_130,1,417.9396141911637,553.708565252627,327,False,False,True,True,True,True,True,True,True,True,4.273976360292919,4.273976360292919
pair_131,1,619.3016287670171,408.4185246858992,268,True,True,True,True,True,True,True,True,True,True,0.047222363071144864,0.047222363071144864
pair_132,1,422.6955142116325,609.361213275522,800,False,False,False,False,True,True,True,True,True,True,3.0125223904172658,1.8098151052833167
pair_133,1,592.2283332461886,394.1747816526558,800,False,True,True,True,True,True,True,True,True,True,0.062481167426107036,0.062481167426107036
pair_134,1,435.90866511952,554.1240882561762,800,False,False,False,False,False,False,False,False,False,False,47.22761736887465,15.919540314123408
pair_135,1,593.8296018092655,434.1213027584054,270,False,False,True,True,True,True,True,True,True,True,0.05642003585852036,0.05642003585852036
pair_136,1,386.5466175047172,624.6785633258728,294,False,False,False,False,True,True,True,True,True,True,3.5041550362718334,3.5041550362718334
pair_137,1,415.67518684851154,448.6296086679527,800,False,False,False,False,True,True,True,True,True,True,1.0191881300582926,1.0191881300582926
pair_138,1,523.1453003858609,492.7075582359928,800,False,False,False,False,False,False,False,False,False,False,85.33019989047641,9.388720151243016
pair_139,1,468.5463345123536,617.0091115777661,316,False,False,True,True,True,True,True,True,True,True,0.02229883719201982,0.02229883719201982
