pair_id,runtime,presence,found,top1,top5,top10,top20,top50,top100,top200,deep_pool,gt_rank,best_gterr,sel_err,cls
v00029,5.593199253082275,0.8747147454829294,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23976588151124797,0.6117235007148653,R1
v00030,5.337942361831665,0.8673100848807287,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43776617308210924,0.6538643550044039,R1
v00031,5.519808530807495,0.895508843397572,1,,,,,,,,,,,,ABSENT
v00032,5.597980260848999,0.8189469739948976,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,0.4534746236446548,,R2
v00033,5.658284902572632,0.7360534995808647,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8963891512949429,,R1
v00034,5.804665803909302,0.8551663741193842,1,,,,,,,,,,,,ABSENT
v00035,5.869324684143066,0.7896821179763828,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.7426068195723212,,R2
v00036,5.291874885559082,0.8386894145888146,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1174214334989991,,R1
v00037,5.4789204597473145,0.8832646651583108,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.992534003842995,0.7862092531279612,R1
v00038,4.864085912704468,0.8402756553753035,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,28.0,1.0436368163959053,,R2
v00039,5.36337947845459,0.8793950145155325,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4361264863478803,0.6661648423033926,R1
v00040,5.484296083450317,0.840345504492235,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.5687659873548636,,R2
v00041,5.191957235336304,0.8337131630592353,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.216456891730239,,R1
