pair_id,rank,cx,cy,gterr,corr_score,psr,context_combined,grad_ncc,phase_penalty,neigh_cons,family,dist_to_center,v25
v00057,4,431.5,591.5,282.82496415678423,0.47373127937316895,0.0,0.4910735989668077,0.31826919317245483,0.05,0.0,169,114.30004374452356,0.4366544525169763
v00057,5,396.5,593.5,311.93528665120516,0.4730073809623718,0.0,0.48175378479011366,0.30670738220214844,0.05,0.0,169,139.4793891583986,0.3924974588513829
v00057,6,327.5,596.5,371.8726763193055,0.7249289155006409,0.0,0.7662127613996389,0.37814342975616455,0.0,0.0,169,197.65753211046626,0.36462770739255335
v00057,7,319.5,429.5,331.99323933390167,0.6975359916687012,0.0,0.7023688795525646,0.4055667519569397,0.05,0.0,169,193.7795138811118,0.1808615726894085
v00057,8,648.5,344.5,68.81451491296914,0.49278566241264343,0.0,0.44316031593458105,0.35037845373153687,0.05,0.0,169,215.01744115303762,0.03834718271897407
v00057,9,655.5,499.5,86.34685118924138,0.37052685022354126,0.0,0.38328294220069686,0.011749801225960255,0.05,0.0,169,155.50080385644313,0.03736747691157919
v00057,10,655.5,489.5,76.36156937409488,0.38399484753608704,0.0,0.4110252341320595,0.046197544783353806,0.05,0.0,169,155.8540984382509,0.032530005579217626
v00057,11,654.5,479.5,66.32188162290961,0.3656715154647827,0.0,0.39346222064971986,0.004243286792188883,0.05,0.0,169,155.8540984382509,0.032530005579217626
v00057,12,471.5,422.5,179.83332122322795,0.3698608875274658,0.0,0.34557570889514755,0.2994447350502014,0.09358541225631423,0.0,169,82.57420904858853,0.02747520548322829
v00057,13,660.5,580.5,167.49866396190578,0.6110361814498901,0.0,0.6430409220393366,0.23131737112998962,0.05,0.0,169,179.55639782530724,0.025266878497521832
v00057,14,416.5,592.5,295.2292522089416,0.4774114489555359,0.0,0.4546093218920728,0.32202523946762085,0.16249999999999998,0.0,169,124.61340216846662,0.02352132434277887
v00057,15,656.5,519.5,106.37182633851293,0.37519970536231995,0.0,0.39915999869547913,0.033516090363264084,0.05,0.0,169,157.7101772239192,0.02186762130388892
v00057,16,656.5,509.5,96.3860778617351,0.38601669669151306,0.0,0.35879781484041573,0.06104502081871033,0.16249999999999998,0.0,169,156.7880735260179,0.02145772353828779
v00057,17,597.5,583.5,178.4721657212461,0.3698212504386902,0.0,0.39700708396651907,0.09494364261627197,0.05,0.0,169,128.36860987017036,0.019710803740729588
v00057,18,496.5,421.5,154.81521577385053,0.36510488390922546,0.0,0.36248545691330736,0.2989942729473114,0.09358541225631423,0.0,169,78.57798673928977,0.017165505957398425
v00057,19,654.5,470.5,57.33560405440214,0.37961646914482117,0.0,0.3670385988197542,0.16943387687206268,0.16249999999999998,0.0,169,157.29113134566742,0.017107265398640832
v00057,20,676.5,412.5,25.415462817658817,0.42403098940849304,0.0,0.4307763603490248,0.4319753050804138,0.125,0.0,169,196.99873096037953,0.016055629421227114
v00058,1,605.0,504.0,302.12605415536336,0.6960532665252686,0.0,0.7399762930779799,0.334719717502594,0.05,0.2039182409644127,166,105.07616285342742,0.6749241814775865
v00058,2,390.0,516.0,214.82447246163275,0.583582878112793,0.0,0.6568927908523767,0.1472681760787964,0.05,0.15716177970170975,166,111.15754585272202,0.35722898444922496
v00058,3,673.0,501.0,353.80063067549963,0.5172351598739624,0.0,0.5170159406188396,0.24606820940971375,0.05,0.49876850843429565,166,173.0028901492689,0.13190031288464646
v00058,4,666.0,501.0,348.0438106353113,0.524766206741333,0.0,0.5257593508393315,0.24575409293174744,0.11020817282989959,0.49192674458026886,166,166.00301202086666,0.040031089990970145
v00058,5,513.0,296.0,132.20847445891056,0.5795028209686279,0.0,0.596621526150894,0.40483659505844116,0.05,0.5537578165531158,166,204.41379601191306,0.03961923604658466
v00058,6,520.0,295.0,139.24514182427268,0.5664860606193542,0.0,0.6021301158795167,0.40578263998031616,0.05,0.5157717615365982,166,205.9732992404598,0.03961923604658466
v00058,7,499.0,296.0,118.22138735899983,0.5731571912765503,0.0,0.6143342397038511,0.4067980945110321,0.05,0.5621490776538849,166,204.00245096566854,0.03924772278558368
v00058,8,451.0,299.0,70.13943483419493,0.5870548486709595,0.0,0.6020040664053892,0.42549002170562744,0.05,0.5743431746959686,166,206.8864422817503,0.035568570632879805
