pair_id,variant,gt_rank,latency_sec
pair_119,R0,-1,0.02801370620727539
pair_119,R1,-1,0.07239985466003418
pair_119,R2,101,0.06857419013977051
pair_119,R3,101,0.0659637451171875
pair_120,R0,1,0.15127348899841309
pair_120,R1,1,0.15944957733154297
pair_120,R2,32,0.1660599708557129
pair_120,R3,32,0.06411910057067871
pair_121,R0,5,0.023308277130126953
pair_121,R1,14,0.0601954460144043
pair_121,R2,14,0.05934882164001465
pair_121,R3,6,0.055803775787353516
pair_122,R0,1,0.0256044864654541
pair_122,R1,1,0.056572675704956055
pair_122,R2,1,0.059815406799316406
pair_122,R3,1,0.06588244438171387
pair_123,R0,1,0.028751373291015625
pair_123,R1,1,0.08415865898132324
pair_123,R2,8,0.06386113166809082
pair_123,R3,8,0.08261227607727051
pair_124,R0,-1,0.030663013458251953
pair_124,R1,47,0.0800638198852539
pair_124,R2,48,0.06807518005371094
pair_124,R3,48,0.06287860870361328
pair_125,R0,8,0.026847124099731445
pair_125,R1,8,0.05665707588195801
pair_125,R2,48,0.06615281105041504
pair_125,R3,48,0.06002306938171387
pair_126,R0,1,0.04413032531738281
pair_126,R1,1,0.0957803726196289
pair_126,R2,1,0.07705926895141602
pair_126,R3,1,0.1554868221282959
pair_127,R0,2,0.04270601272583008
pair_127,R1,2,0.08935809135437012
pair_127,R2,42,0.1279444694519043
pair_127,R3,42,0.1455826759338379
pair_128,R0,3,0.040250539779663086
pair_128,R1,3,0.08936166763305664
pair_128,R2,27,0.08603501319885254
pair_128,R3,27,0.07978105545043945
pair_129,R0,1,0.04740619659423828
pair_129,R1,1,0.08853530883789062
pair_129,R2,1,0.10940098762512207
pair_129,R3,1,0.132615327835083
pair_130,R0,8,0.05035281181335449
pair_130,R1,8,0.11251235008239746
pair_130,R2,46,0.0935673713684082
pair_130,R3,46,0.16585826873779297
pair_131,R0,1,0.04067182540893555
pair_131,R1,1,0.09134697914123535
pair_131,R2,1,0.06136345863342285
pair_131,R3,1,0.06137347221374512
pair_132,R0,11,0.0690147876739502
pair_132,R1,11,0.205430269241333
pair_132,R2,47,0.19025540351867676
pair_132,R3,47,0.15469098091125488
pair_133,R0,2,0.027950286865234375
pair_133,R1,2,0.0845956802368164
pair_133,R2,4,0.06873035430908203
pair_133,R3,4,0.06506109237670898
pair_134,R0,-1,0.02604508399963379
pair_134,R1,-1,0.0846405029296875
pair_134,R2,-1,0.0852360725402832
pair_134,R3,-1,0.08574891090393066
pair_135,R0,1,0.04559659957885742
pair_135,R1,1,0.10098648071289062
pair_135,R2,23,0.11198019981384277
pair_135,R3,23,0.07678961753845215
pair_136,R0,16,0.033724069595336914
pair_136,R1,16,0.05836653709411621
pair_136,R2,45,0.09787487983703613
pair_136,R3,45,0.06415677070617676
pair_137,R0,-1,0.04244375228881836
pair_137,R1,11,0.07941484451293945
pair_137,R2,11,0.06302618980407715
pair_137,R3,48,0.06489205360412598
pair_138,R0,-1,0.05330634117126465
pair_138,R1,-1,0.09395766258239746
pair_138,R2,-1,0.07870316505432129
pair_138,R3,-1,0.08133983612060547
pair_139,R0,1,0.023640155792236328
pair_139,R1,1,0.05740833282470703
pair_139,R2,1,0.058669328689575195
pair_139,R3,8,0.07286906242370605
