pair_id,gap_1_2,relative_gap_1_2,gap_1_3,gap_1_5,relative_gap_1_5,gap_1_10,relative_gap_1_10,gap_1_20,relative_gap_1_20,gap_1_30,gap_1_50,gap_1_100,gap_1_200
pair_034,0.0013118715838975111,0.13909066987355076,0.0013287003677847405,0.0019087829315781648,0.20237796126937713,0.004652633236552701,0.49329361310307857,0.006111820716656787,0.6480033930617182,0.0069738132376974266,0.007798353335942371,0.008854801640359834,0.009372355297459455
pair_035,0.1165549947647444,0.12272192399453993,0.14681240764985992,0.17467350922326463,0.1839154912753778,0.6520317885025553,0.6865308153644101,0.9055024794974862,0.9534126503120147,0.940120852403737,0.9446163486072542,0.9490420718226664,0.949669377129633
pair_036,0.08247302071738505,0.2095392647184276,0.2697588678100964,0.33136593865304753,0.8419016853526582,0.3740875158759353,0.9504444281918132,0.38893364227340277,0.9881639925073035,0.39129799228686446,0.39229548034532324,0.39310152155070094,0.393544035762783
pair_037,0.18254290125547545,0.2793918532843319,0.3188371021315815,0.5768208522043272,0.8828557331017036,0.6370050355908663,0.9749709039416592,0.6469234083819395,0.9901515137413498,0.6490293615270978,0.650803204269445,0.652694828302845,0.6532820992685012
pair_038,0.06356050250536394,0.070393240369604,0.07228791993788664,0.13969626423084436,0.15471357712925043,0.6602336530392756,0.7312086029303072,0.8307159744340513,0.9200177305437612,0.8640142619851945,0.887951497220364,0.8998686140382856,0.9028648802964029
pair_039,0.08586041238014464,0.14319443073579105,0.15887780564694914,0.17277156094124613,0.28814123564630023,0.4904141263829929,0.8178923173730587,0.5627137844294875,0.9384706850906853,0.5905707810759717,0.5959248465243865,0.5990096102450231,0.5995445403262049
pair_040,0.02038354603093353,0.6417458456566126,0.024279713810894533,0.024894567362753316,0.7837686906989051,0.02783734969993873,0.8764178468709681,0.029416916574929196,0.9261481773259143,0.02972590014095629,0.030310495408867304,0.031176779550546412,0.03171016760098789
pair_041,0.030379596346588267,0.035215798930436436,0.1005485171456546,0.174421742241339,0.20218836793587672,0.5010311313457436,0.5807915081578199,0.8211911300337189,0.9519185636570519,0.844850160955599,0.8567163534073663,0.8609803063422596,0.8626018270045893
pair_042,0.017204209915391844,0.01989786288948955,0.06454287985638318,0.41628891281659086,0.4814670217566067,0.7924950593688909,0.916575542234711,0.8458739409598056,0.9783119237549157,0.8530003696483126,0.8576047522413053,0.8633358841368728,0.864549046115027
pair_043,0.05723158166323558,0.29109350376422927,0.1351150258214771,0.15844577251764685,0.8058930705460485,0.1815375333438223,0.9233432854733598,0.1884926035600807,0.9587184349859137,0.1926958418716104,0.1947581368047043,0.19647201857742289,0.19656352264710475
pair_044,0.2742384358084794,0.3067433171802839,0.5074262820862885,0.6674601845531785,0.7465727788740398,0.8615590769614461,0.9636777880344302,0.8763834630297667,0.9802592761265426,0.8844667086905244,0.8874711982802947,0.893246607933249,0.893952118871481
pair_045,0.08889191458753254,0.09286567720515138,0.11951716380116317,0.22541737881275825,0.2354942812784567,0.3113075701772515,0.32522404830343665,0.7091438399411851,0.7408449152836234,0.9030389436193113,0.9532386227157505,0.9567330262046638,0.9571554652140243
pair_046,0.06029241265270516,0.4079278960777271,0.06417513319651327,0.10312032118066541,0.6976940183899069,0.12515269547526192,0.8467612010777521,0.13447094977192933,0.9098068763644953,0.13988332092707675,0.14454257093672587,0.1466941094825362,0.1477355953383961
pair_047,0.006210962073628812,0.006539839518839919,0.04496348498828029,0.08045585214179485,0.08471608023383607,0.21837577475019698,0.22993901826133958,0.8273743379428828,0.871184742075154,0.9176444780329832,0.9431612002080473,0.9481552126692366,0.9496341677110443
pair_048,0.01869081978735021,0.021131519025153103,0.050264551094583165,0.16039472246688502,0.18133951147702143,0.41222854843875323,0.46605849893969353,0.7910784371587074,0.894379659929166,0.8607685723392644,0.8759413192143426,0.8826732709446937,0.884408763001949
pair_049,0.4974584707138252,0.5662915771128694,0.5766998302157438,0.6701652642083828,0.7628957324824597,0.8176618441168292,0.930801348272363,0.8584269149828023,0.9772070637860304,0.8707649727422048,0.8766290857384209,0.8781454179151164,0.8783978596372639
pair_050,0.2659334510205402,0.3017785043796826,0.3721794197510395,0.40545787555662266,0.4601093649741353,0.5602652217031027,0.6357831254874908,0.8152349869055795,0.9251201536408211,0.8548137443917019,0.8723489774377579,0.8800461482940508,0.8811434618860098
pair_051,0.09168629023775599,0.10810493688928688,0.544501618604097,0.7934025152689629,0.9354804149948333,0.8223704416617122,0.9696357488662446,0.840662562031948,0.9912035155745247,0.8435072591820909,0.8453552096677001,0.847526804064744,0.8480742866521278
pair_052,0.01364384034957955,0.019903913296001514,0.030914122259426358,0.2764218891415108,0.403249904251417,0.4878062521353157,0.7116217354484053,0.6398617725486192,0.9334434379119677,0.6738670639874152,0.6807385523724553,0.6842403270676187,0.6854412074062044
pair_053,0.0970130047212151,0.1396594149401367,0.36452868832153223,0.39520091657778095,0.5689291755437069,0.5790858359531996,0.8336489451259919,0.6748801679635795,0.9715539651962052,0.6857747138064372,0.6917672722519068,0.6942357485050037,0.6945831329317087
pair_054,0.08670227813672948,0.10242125567415816,0.602036512229196,0.7495253017165835,0.8854129811941351,0.7884597090903971,0.9314061312918358,0.8259417953806906,0.9756836569306081,0.8366174672793439,0.8424523468511418,0.8458507921036386,0.8464749494051872
pair_055,0.6039601455044339,0.6349583416649007,0.7311431008741995,0.7749281126897587,0.8147012232604149,0.8993675064246448,0.9455274568651104,0.9364138028015366,0.984475150827021,0.9434541128600555,0.9478669436948135,0.9506375258444073,0.9511290405503375
pair_056,0.027706465904563136,0.4708517242314413,0.03759595516681905,0.04264698137020159,0.7247551809961594,0.048079274928907866,0.8170731546221981,0.05534951597082665,0.9406257412984318,0.056422021492909064,0.057501388108674986,0.0583379993474219,0.05879344625262449
pair_057,0.017868567182466766,0.020185739276289107,0.027329841504612595,0.410814525765563,0.46408840861918566,0.653733559061547,0.738508859978733,0.8028635042822593,0.906977778710302,0.8535483410867583,0.874447333006379,0.8838787826919171,0.8851513506937289
