pair_id,set_type,gt_found,v25_found,v25_ml,v25_score,v25_dist,v46_triggered,v46_consensus,v46_score,v46_dist,final_found
pair_021,SetA,1,1,0.8990708799645212,0.85210407,0.08752057112956634,False,4,0.8982058,0.08752057112956634,1
pair_022,SetA,1,0,0.0029533291688417,0.1643456,569.2882967135295,True,4,0.81556106,517.0586550734471,1
pair_023,SetA,1,1,0.5907291151172653,0.7947593,0.6238907960342598,True,4,0.9159813,0.6515770767601963,1
pair_024,SetA,1,0,0.011076726380006,-0.03459797,727.1679928102411,True,4,0.76560557,452.4190133066728,1
pair_025,SetA,1,1,0.1554235984095346,0.76019716,400.4744670938464,True,4,0.9322997,0.4007024107691836,1
pair_026,SetA,1,0,0.0002606294682419,0.10302551,803.7482498702487,True,4,0.7787166,709.4248125663335,1
pair_027,SetA,1,1,0.0009689239540872,0.7225847,242.1638205400857,False,4,0.81910056,242.1638205400857,1
pair_028,SetA,1,1,0.0025354163540958,0.71501064,597.4821514950524,True,4,0.8192185,477.24958690355066,1
pair_029,SetA,1,1,0.041393234323756,0.6113202,271.0921292206483,True,3,0.8447727,393.84039322752733,1
pair_030,SetA,1,0,0.0001242394766496,0.4090017,750.6941833008729,True,3,0.7577857,202.8688589870134,1
pair_031,SetA,1,1,0.0001148313847609,0.78224105,405.45883224505525,False,3,0.8519303,405.45883224505525,1
pair_032,SetA,1,0,0.1938254147935838,0.085035235,678.3539576681401,True,4,0.7929315,247.3494521859068,1
pair_033,SetA,1,1,0.9906869584206084,0.7005111,0.5004758160357746,False,4,0.96246463,0.5004758160357746,1
pair_034,SetA,1,0,9.188933218152332e-05,0.07808027,737.1107407834174,True,3,0.75910646,314.7368028058258,1
pair_035,SetA,1,1,0.9445559443940348,0.8320878,0.6283996155478113,False,4,0.93208784,0.6283996155478113,1
pair_036,SetA,1,0,0.0003436128232178,0.096146524,698.0154752599311,True,3,0.7346531,315.9096855910207,1
pair_037,SetA,1,1,0.769269195925818,0.78270024,301.17635019424813,True,4,0.91216195,0.48142570647768745,1
pair_038,SetA,1,1,0.0002500459384963,0.69259405,257.72434452008235,True,4,0.86804193,393.68867874441366,1
pair_039,SetA,1,1,0.1965145367495467,0.6558797,161.7219399342584,True,4,0.91819215,0.5414501565099585,1
pair_040,SetA,1,0,0.0102065693263808,-0.07810841,864.3110503991713,True,4,0.75707906,495.91807362339955,1
pair_041,SetA,1,1,0.5731406881658586,0.87322646,0.0890920938010517,False,4,0.9732265,0.0890920938010517,1
pair_042,SetA,1,1,0.0003383227638296,0.6572569,58.62144491995162,True,4,0.87835115,311.8280366665267,1
pair_043,SetA,1,1,0.0001128746806848,0.5522363,382.80461542790005,True,3,0.81365573,153.41416556277264,1
pair_044,SetA,1,1,0.0004346982887255,0.6822132,123.99393419905454,False,3,0.7119798,123.99393419905454,1
pair_045,SetA,1,1,0.0003758861411661,0.77794796,6.566598326464714,True,3,0.8987785,533.6986799826485,1
pair_046,SetA,1,0,0.0003433068787148,0.4776314,576.0553449090839,True,4,0.7827078,541.6232350231536,1
pair_047,SetA,1,1,0.8070960366007822,0.7133504,328.5992245852269,True,4,0.9168548,0.32999953408237004,1
pair_048,SetA,1,0,0.0167747923940687,0.24880642,586.7893395204482,True,3,0.743667,291.53575637737873,1
pair_049,SetA,1,1,0.7573771163192907,0.8178998,0.5607877569733722,False,4,0.91789985,0.5607877569733722,1
