pair_id,candidate_rank,gt_x,gt_y,pred_x,pred_y,loc_error,status,score_original,score_normalized,score_highpass,score_gradient,score_blur,score_sharp,score_mean,score_std,rank_original,rank_normalized,rank_highpass,rank_gradient,rank_blur,rank_sharp,rank_std,x_shift,y_shift,coordinate_std,winner_frequency,representation_agreement
pair_020,1,359.5974759091987,466.8878186295023,410.0,465.0,50.43786567551904,WRONG,0.028925448656082153,0.02892710268497467,0.02417602762579918,0.016183502972126007,0.0452953539788723,0.026391640305519104,0.02831651270389557,0.00872814747185696,104,104,143,82,103,111,18.105401281262882,6.0,4.333333333333333,1.8408935028645435,0.0,0
pair_021,1,465.1522506975749,532.2503646150753,465.0,532.0,0.29302340417425976,SAFE,0.2332487553358078,0.2332480251789093,0.12445437908172607,0.1240968331694603,0.2580522894859314,0.21824052929878235,0.19855680192510286,0.05380463236572957,23,23,76,114,22,22,35.89645603058268,29.5,28.0,0.7637626158259734,0.0,0
pair_022,1,445.9727890984229,353.832497318668,435.5,584.5,230.90512360002398,WRONG,0.13569997251033783,0.1357003003358841,0.029026620090007782,0.023898692801594734,0.20821066200733185,0.11008714884519577,0.10710389943172534,0.06440255522303842,20,20,4,117,24,16,37.867092133759975,19.833333333333332,19.666666666666668,1.6414763002993507,0.0,0
pair_023,1,357.48726056680914,561.5979415955231,529.0,547.0,172.13285475673703,WRONG,0.01196540892124176,0.01196532417088747,0.025579318404197693,0.024569662287831306,0.015246869996190071,0.009792767465114594,0.016519891874243815,0.006261445549480426,128,128,50,180,126,130,38.042374035044425,4.166666666666667,7.666666666666667,3.0595932917809696,0.0,0
pair_024,1,366.6139153673995,627.9868842791703,610.0,473.0,288.54413958933964,WRONG,-0.024603279307484627,-0.02460394613444805,0.030278312042355537,0.020245475694537163,-0.041758399456739426,-0.019161563366651535,-0.009933900088071823,0.02600053266885548,179,179,4,50,179,179,72.87355868595657,7.833333333333333,8.5,2.4608038433722332,0.0,0
pair_025,1,379.1116367088906,515.4013269230493,538.5,536.5,160.77874349001087,WRONG,-0.019127845764160156,-0.01912679895758629,0.0951543003320694,0.08237532526254654,-0.025565113872289658,-0.014433147385716438,0.016546119935810566,0.05130138121421457,113,113,52,115,116,111,23.01207412545761,26.666666666666668,28.166666666666668,2.088327347690278,0.0,0
pair_026,1,514.0043003399667,617.9084304340807,547.0,620.0,33.06192461585083,WRONG,0.00279585481621325,0.002794587519019842,0.021390575915575027,0.004695826210081577,-0.020599113777279854,0.0073052761144936085,0.0030638344663505754,0.012359895516314025,177,177,53,134,183,170,45.83666654546336,34.333333333333336,35.833333333333336,1.5365907428821477,0.0,0
pair_027,1,603.9420312048406,417.7763906775965,452.5,405.5,151.93879880898396,WRONG,0.047469016164541245,0.047468751668930054,0.18050836026668549,0.15883275866508484,0.04380759596824646,0.04814920946955681,0.08770594870050748,0.05831116880479632,46,46,120,99,44,46,30.781036730789662,20.166666666666668,15.666666666666666,2.242270674512285,0.0,0
pair_028,1,477.91187520368914,439.8842365822546,478.0,440.0,0.14548934192212729,SAFE,0.10167838633060455,0.10167721658945084,0.013968448154628277,-0.016618790104985237,0.15790744125843048,0.0824647843837738,0.07351291443531711,0.05839286697902022,46,46,86,171,47,44,46.09290135753612,33.0,30.5,2.5,0.0,0
pair_029,1,505.0122385387808,618.7091177721555,513.5,411.5,207.38288401538247,WRONG,-0.07872554659843445,-0.07872553914785385,0.04103127494454384,0.09017464518547058,-0.09216848760843277,-0.07070062309503555,-0.03151904605329037,0.07040757652014243,175,175,124,155,175,175,18.97732565165305,29.5,28.166666666666668,2.2484562605386733,0.0,0
pair_030,1,436.1278420959197,611.0108527600154,604.0,532.0,185.53645532142008,WRONG,0.017715532332658768,0.017715616151690483,0.024808896705508232,0.015444464050233364,0.023051749914884567,0.01670238934457302,0.019239774749924738,0.003440817644981121,72,72,18,89,71,75,22.40101684199973,17.5,17.0,2.1408720964441885,0.0,0
pair_031,1,515.2050624964362,524.1079983471228,501.5,600.5,77.61163994250097,WRONG,0.15950477123260498,0.159505233168602,0.03118395246565342,0.07501152902841568,0.1806563436985016,0.1473556011915207,0.12553623846421638,0.05366122831749619,44,44,143,148,45,45,47.635479307852975,34.0,35.5,2.29128784747792,0.0,0
pair_032,1,471.0536823948475,488.1316627573783,474.0,453.0,35.25499277447938,WRONG,0.05172795057296753,0.05172736942768097,0.02386307157576084,0.0061824731528759,0.07901009917259216,0.04242394119501114,0.042489150849481426,0.02298401508303744,40,40,83,55,40,41,15.784134087395763,25.5,26.0,1.9790570145063195,0.0,0
pair_033,1,506.487300176383,415.4853036556477,506.5,415.5,0.019423389437072804,SAFE,0.06468931585550308,0.06468957662582397,0.13920281827449799,0.08133909106254578,0.06556746363639832,0.06285600364208221,0.07972404484947522,0.027317121550785885,142,142,14,170,145,141,50.95313751107209,0.0,4.0,1.8257418583505538,0.0,0
pair_034,1,600.6392691360397,427.2759208637932,539.0,421.0,61.95794285088664,WRONG,0.01785152778029442,0.017852190881967545,0.055120304226875305,0.019257809966802597,0.012856955640017986,0.01984066143631935,0.023796574988712866,0.014187906901988923,187,187,69,157,187,183,42.79667692187742,3.1666666666666665,1.6666666666666667,0.8333333333333333,0.0,0
pair_035,1,381.3987859700967,390.8476615420415,526.0,385.0,144.71940521033167,WRONG,0.020923465490341187,0.020923439413309097,0.07161084562540054,0.10843760520219803,0.018054954707622528,0.021878216415643692,0.043638087809085846,0.0344996392623743,112,112,151,89,113,112,18.270346344707196,23.666666666666668,28.666666666666668,1.0540925533894598,0.0,0
pair_036,1,369.9263348959626,591.9291431014253,425.5,588.5,55.67936130655376,WRONG,0.021724341437220573,0.021724503487348557,0.020069286227226257,-0.0003494088596198708,0.033504877239465714,0.01912449114024639,0.019299681778647937,0.010002133593529366,57,57,22,179,66,55,49.533378196480356,23.0,23.833333333333332,2.6087459737497545,0.0,0
pair_037,1,637.3473505721319,414.3333441028385,487.0,403.0,150.773905277448,WRONG,0.15336500108242035,0.15336476266384125,0.07126576453447342,0.0906657874584198,0.17473900318145752,0.14122219383716583,0.13077041879296303,0.03699702887033711,55,55,170,167,55,55,53.511421418443206,22.5,22.666666666666668,3.1841621957571333,0.0,0
pair_038,1,363.5338391870325,490.2092338110844,595.0,505.0,231.93824688039203,WRONG,0.004373602103441954,0.004373549949377775,0.019036656245589256,0.03184498846530914,0.004524584859609604,0.004528524819761515,0.01144698440718154,0.010563558420128447,136,136,154,173,138,133,14.259499757471625,4.833333333333333,6.833333333333333,3.018461712712472,0.0,0
