pair_id,is_correct,v25_ml_score,curvature,scale_std
pair_034,0,0.0063794128075204,-0.6344973,0.33146274
pair_034,0,0.006157021183981,-0.65291893,0.33682495
pair_034,0,0.005835996952754,-0.6344134,0.3321528
pair_036,0,0.5401806970599,-0.52376074,0.22949305
pair_036,0,0.478262394608788,-0.51951176,0.23540732
pair_036,1,0.1191548914024238,-0.487154,0.23405972
pair_036,0,0.0567633248566647,-0.41556334,0.22590914
pair_036,0,0.0538447871672784,-0.4685328,0.23364595
pair_036,0,0.0285769147826222,-0.52041095,0.23215634
pair_036,1,0.0173210399138251,-0.5665421,0.23073195
pair_036,0,0.0156871643930575,-0.56070817,0.23597743
pair_036,0,0.0080997575839109,-0.540208,0.23660152
pair_036,0,0.0074616487188597,-0.55342615,0.23198213
pair_038,0,0.6185493728014321,-0.60587627,0.2106715
pair_038,1,0.5645998962087654,-0.6282144,0.20945115
pair_038,0,0.0946529314502595,-0.6199823,0.21029583
pair_038,0,0.087164070467365,-0.6037296,0.20048681
pair_038,0,0.0780406222640336,-0.58415043,0.20633066
pair_038,1,0.077583161467379,-0.6361651,0.20689094
pair_038,0,0.0312704564869428,-0.5833738,0.2078414
pair_038,1,0.0173305058781167,-0.49347568,0.1946004
pair_038,0,0.0125654926551875,-0.639351,0.20128256
pair_038,0,0.012522774249708,-0.55215263,0.20306636
pair_040,0,0.0105420944401446,-0.6116507,0.2556179
pair_040,0,0.0102065693263808,-0.65371275,0.2584824
pair_040,0,0.0072141308545223,-0.6379202,0.25391263
pair_040,0,0.004529607129142,-0.65107644,0.25450906
pair_040,0,0.0038726761843253,-0.6153399,0.2542195
pair_040,0,0.0035955800603759,-0.65991306,0.25945833
pair_040,0,0.0032730514199019,-0.6797849,0.25331193
pair_040,0,0.0030900939613506,-0.6131468,0.25782672
pair_040,0,0.0027543880507759,-0.6232352,0.2569049
pair_040,0,0.0025298985547393,-0.599527,0.259898
pair_044,0,0.1091848113798778,-0.5147683,0.19300127
pair_044,0,0.068470240255744,-0.45619512,0.18551855
pair_044,0,0.0062087549814682,-0.42542422,0.1933644
pair_044,0,0.0025339081791254,-0.41025186,0.1887936
pair_044,0,0.0013486201758715,-0.51617455,0.199315
pair_044,1,0.001259659585363,-0.42399073,0.18545179
pair_044,0,0.0011795944998765,-0.42621148,0.18003708
pair_044,0,0.0010035857293223,-0.5013744,0.19999018
pair_044,0,0.0009128663314188,-0.48031533,0.19639283
pair_044,0,0.0006485399155973,-0.48529744,0.20491531
pair_045,0,0.7384491122068827,-0.06926298,0.05543522
pair_045,0,0.2884608572856305,-0.08681214,0.054696202
pair_045,1,0.2664238998992238,-0.08031845,0.057885416
pair_045,1,0.1227766236624805,-0.0683471,0.056438915
pair_045,0,0.0835566872233699,-0.07018161,0.056299917
pair_045,0,0.0772607174470974,-0.06600475,0.05514024
pair_045,0,0.0407861593099811,-0.08325374,0.05663197
pair_045,0,0.0266827518782577,-0.05531764,0.056619562
pair_045,0,0.0238855647859196,-0.01813054,0.058015727
pair_045,0,0.0164770824989006,-0.05498004,0.05620365
pair_047,0,0.9286545354923068,-0.1196748,0.08914775
pair_047,0,0.9220572307418482,-0.1570524,0.08929638
pair_047,0,0.8856263028704051,-0.12952316,0.0893461
pair_047,1,0.8070960366007822,-0.11884594,0.092042096
pair_047,0,0.7280176759919954,-0.0897603,0.0780989
pair_047,1,0.7230802846734186,-0.1618278,0.08875606
pair_047,0,0.6951876183193024,-0.15667725,0.09757089
pair_047,0,0.6211927402239106,-0.13884532,0.09530196
pair_047,0,0.6056308993885383,-0.15300739,0.10038834
pair_047,1,0.5925748316522751,-0.11846185,0.08950033
pair_048,0,0.7977288808240768,-0.23152888,0.14053603
pair_048,0,0.4002374769411404,-0.21530664,0.13725552
pair_048,1,0.222671471936432,-0.22482252,0.13591138
