pair_id,set_type,gt_found,anchor_err,anchor_ok,a_big,a_grad,a_rout,a_fall,a_lminl,a_lmrms,a_g,gt_rank,g_big,g_grad,g_rout,g_fall,g_lminl,g_lmrms,g_g,g_minus_a
pair_039,SetA,1,90.74095319755213,0,0.22092576324939728,0.17919322848320007,0.16428087651729584,0.581226721405983,3,6.3508529610858835,0.3500620152916321,2.0,0.23567596077919006,0.1625448763370514,0.1776321828365326,0.6377200186252594,4.0,7.285830998131464,0.40944742096772063,0.05938540567608852
pair_040,SetA,1,228.47692943971407,0,0.12953588366508484,-0.016585934907197952,0.09251139312982559,0.31638290733098984,0,7.593857166596345,-0.3777147233826559,,,,,,,,,
pair_041,SetA,1,239.5904107311606,0,0.19479820132255554,0.2908570170402527,0.12390291690826416,0.5378067493438721,0,9.984988733093292,-0.16349744635643132,7.0,0.3259831666946411,0.31762856245040894,0.26616761088371277,0.6086801588535309,0.0,10.488088481701515,0.31478417725516405,0.4782816236115954
pair_042,SetA,1,268.06423124242224,0,0.15471555292606354,0.16016046702861786,0.09780415892601013,0.6683544814586639,3,8.5,-0.24261001586914066,,,,,,,,,
pair_043,SetA,1,83.58952847245185,0,0.24811850488185883,0.23948097229003906,0.20917263627052307,0.5376235544681549,0,7.615773105863909,0.10695950280528455,15.0,0.2908066511154175,0.25506722927093506,0.24981336295604706,0.5373354107141495,2.0,6.800735254367722,0.633650468322015,0.5266909655167304
pair_044,SetA,1,219.23129061218017,0,0.17296035587787628,0.029403002932667732,0.13441896438598633,0.30893969535827637,0,9.75106831754005,-0.19522034996662557,10.0,0.09826349467039108,0.04576034098863602,0.07825671136379242,0.1963394731283188,0.0,9.336309049440612,-0.27463659110277244,-0.07941624113614687
pair_045,SetA,1,254.5035440874049,0,0.3468312919139862,0.24149438738822937,0.28741902112960815,0.49821871519088745,3,9.133272505880171,0.9997241036408796,5.0,0.299594908952713,0.24573510885238647,0.24528510868549347,0.5271485298871994,2.0,7.708220719898118,0.637280654328866,-0.36244344931201355
pair_046,SetA,1,171.9248001523756,0,0.13976550102233887,-0.07218065857887268,0.11496065557003021,0.3351708799600601,0,8.925618559330589,-0.48950325087651103,,,,,,,,,
pair_047,SetA,1,167.46590025829622,0,0.15128004550933838,0.14523427188396454,0.09155464917421341,0.611874632537365,0,8.82146143324233,-0.686992135676916,5.0,0.09421857446432114,0.12268508970737457,0.03947152569890022,0.6621440462768078,3.0,8.522696969643098,-0.5650050992251126,0.12198703645180342
pair_048,SetA,1,58.65504543333956,0,0.23025989532470703,0.09134124219417572,0.18017981946468353,0.44554944336414337,1,8.46919551830472,0.0606632915105009,,,,,,,,,
pair_049,SetA,1,0.35447447294926504,1,0.20701812207698822,0.13262245059013367,0.13220755755901337,0.7131688147783279,4,8.005206639015219,0.0559237718085851,,,,,,,,,
pair_050,SetA,1,35.761952442897076,0,0.30650627613067627,0.21488292515277863,0.24301590025424957,0.5321699231863022,1,10.432321569685882,0.3700589063153531,,,,,,,,,
pair_051,SetA,1,0.4696863523036584,1,0.29039791226387024,0.19752666354179382,0.22544443607330322,0.5344863533973694,3,7.984359711335656,0.6912729229065826,,,,,,,,,
pair_052,SetA,1,27.25144532828571,0,0.1389147788286209,0.17151807248592377,0.046681441366672516,0.6541987285017967,1,6.531972647421808,-0.5609017125090919,7.0,0.14920508861541748,0.1598764806985855,0.05686940997838974,0.6468989625573158,2.0,9.508767883730608,-0.4800381645896739,0.08086354791941802
pair_053,SetA,1,10.986331669230323,0,0.2119324952363968,0.14830490946769714,0.18671631813049316,0.45276421308517456,3,8.831760866327848,0.3819175775550113,10.0,0.18968281149864197,0.06859193742275238,0.14457708597183228,0.6004514098167419,2.0,8.707363654871767,-0.28393334253281305,-0.6658509200878244
pair_054,SetA,1,0.3048593337118826,1,0.07995890825986862,0.13536973297595978,0.01462229248136282,0.5091499472036958,2,6.164414002968976,-0.39061690086010586,,,,,,,,,
pair_055,SetA,1,0.46369596079683373,1,0.26657143235206604,0.05875147879123688,0.2037753164768219,0.6126373708248138,3,7.0,0.27991720378398893,,,,,,,,,
pair_056,SetA,1,76.38258823556936,0,0.16883210837841034,0.18951287865638733,0.08302303403615952,0.7016196623444557,3,8.976822006330154,-0.24332513068431294,,,,,,,,,
pair_057,SetA,1,199.30943708798682,0,0.18480421602725983,0.056884877383708954,0.12669210135936737,0.6090760976076126,0,8.66506395437064,-0.6544475589831511,3.0,0.18535488843917847,0.12534171342849731,0.1099625900387764,0.703018955886364,5.0,4.949747468305833,0.2170846769836604,0.8715322359668115
pair_058,SetA,1,101.72103610415185,0,0.013352745212614536,0.06497466564178467,-0.07409361749887466,0.7148954644799232,2,10.519822558706334,-1.401208949019551,,,,,,,,,
pair_059,SetA,1,0.1010568972230651,1,0.1152368113398552,0.05792757496237755,0.055069465190172195,0.6359500102698803,3,7.33143914930759,-0.44798862272176376,,,,,,,,,
pair_060,SetA,1,57.469159056032375,0,0.18207623064517975,0.027678435668349266,0.15606598556041718,0.29754962027072906,1,9.237604307034012,0.025604588751566598,,,,,,,,,
pair_061,SetA,1,229.61084915966532,0,0.14962396025657654,0.13673986494541168,0.10516282171010971,0.6887703314423561,4,7.388053419767167,-0.10595206600032814,5.0,0.18036076426506042,0.08380098640918732,0.13950923085212708,0.6467956602573395,5.0,9.530652303663864,0.09984799597406502,0.20580006197439316
pair_062,SetA,1,61.14047191426282,0,0.19840334355831146,0.16687488555908203,0.1319756954908371,0.6006739884614944,0,9.20326029187483,-0.43949616324575647,15.0,0.2157275527715683,0.16565923392772675,0.11675948649644852,0.6192011162638664,0.0,8.670744961179413,-0.3993735923920772,0.04012257085367926
pair_063,SetA,1,0.6042933949573488,1,0.3347795605659485,0.33211055397987366,0.27679526805877686,0.5767750144004822,6,5.759050847723665,1.582821700499896,,,,,,,,,
pair_064,SetA,1,4.832468991783728,1,0.1431829333305359,0.0863499864935875,0.07330784201622009,0.5687596499919891,2,7.833494518006403,-0.3492519012304199,,,,,,,,,
pair_065,SetA,1,0.17947771023021353,1,0.29162004590034485,0.24214409291744232,0.2148282825946808,0.6193418204784393,6,4.926735965396083,1.2145443024641969,,,,,,,,,
