pair_id,set_type,gt_x,gt_y,best_rank,min_dist,top20,top50,top100,rescue_category
pair_105,SetB,390.3853169977744,437.6805911482167,3,2.0851956540910974,1,1,1,RETRIEVED_TOP100
pair_106,SetB,352.88208754607297,448.0910614383217,-1,5.6398038447713255,0,0,0,RESCUE_DENSITY_CAP
pair_107,SetB,551.9226562884385,330.6893994609432,-1,76.31820506343382,0,0,0,RESCUE_DENSITY_CAP
pair_108,SetB,419.0241100659799,415.0396710952816,-1,118.0289483861161,0,0,0,RESCUE_SCALE_ROT_MISMATCH
pair_109,SetB,595.0376202297144,558.3261749532121,44,2.387297830302348,0,1,1,RETRIEVED_TOP100
pair_110,SetB,422.7339868744404,608.8382082352778,-1,274.5744697605723,0,0,0,RESCUE_DENSITY_CAP
pair_111,SetB,641.9649092431109,514.1642988479941,8,3.693673869163478,1,1,1,RETRIEVED_TOP100
pair_112,SetB,448.691706059214,483.9684783690704,-1,235.7244479581217,0,0,0,RESCUE_SCALE_ROT_MISMATCH
pair_113,SetB,324.3040343836874,661.3189144655241,-1,176.04360493119907,0,0,0,RESCUE_DENSITY_CAP
pair_114,SetB,641.16389151336,405.91585793670015,-1,8.285458989757029,0,0,0,RESCUE_SCALE_ROT_MISMATCH
pair_115,SetB,401.2870861782606,559.8881899220037,49,2.7191571426147276,0,1,1,RETRIEVED_TOP100
pair_116,SetB,404.1949591067989,597.3564869766575,-1,6.979580603016273,0,0,0,RESCUE_DENSITY_CAP
pair_117,SetB,463.4485670873985,378.2863714063405,6,2.0225979137452303,1,1,1,RETRIEVED_TOP100
pair_118,SetB,665.9286433650714,383.7105126474083,-1,177.8190449269828,0,0,0,RESCUE_DENSITY_CAP
pair_119,SetB,567.9409966845091,458.0488132422573,-1,215.6555163239538,0,0,0,RESCUE_DENSITY_CAP
pair_120,SetB,406.69402532252985,536.5093041663631,-1,19.581910896902738,0,0,0,RESCUE_SCALE_ROT_MISMATCH
pair_121,SetB,627.6125774937187,393.331013610427,-1,11.143606336129208,0,0,0,RESCUE_DENSITY_CAP
pair_122,SetB,455.3315298427642,564.6009564753156,0,3.5883342672315637,1,1,1,RETRIEVED_TOP100
pair_123,SetB,556.7602334876108,478.9354070031733,-1,12.143743012820142,0,0,0,RESCUE_DENSITY_CAP
pair_124,SetB,654.7514722101861,534.3109309569012,-1,102.74743874959199,0,0,0,RESCUE_SCALE_ROT_MISMATCH
pair_125,SetB,605.7903195195479,541.5417448911985,79,3.068270800036608,0,0,1,RETRIEVED_TOP100
pair_126,SetB,539.2307783768355,480.9993138082922,0,1.2621706539999082,1,1,1,RETRIEVED_TOP100
pair_127,SetB,453.00874129807096,539.592610087729,58,2.579790162739976,0,0,1,RETRIEVED_TOP100
pair_128,SetB,378.857135586239,390.7316493533143,-1,9.15818302627337,0,0,0,RESCUE_DENSITY_CAP
pair_129,SetB,382.2169275397297,544.7151733450952,0,1.0605071388578489,1,1,1,RETRIEVED_TOP100
pair_130,SetB,417.9396141911637,553.708565252627,-1,6.735849034615792,0,0,0,RESCUE_DENSITY_CAP
pair_131,SetB,619.3016287670171,408.4185246858992,0,3.3386758808641757,1,1,1,RETRIEVED_TOP100
pair_132,SetB,422.6955142116325,609.361213275522,94,4.351625717088641,0,0,1,RETRIEVED_TOP100
pair_133,SetB,592.2283332461886,394.1747816526558,3,1.312594113272807,1,1,1,RETRIEVED_TOP100
pair_134,SetB,435.90866511952,554.1240882561762,-1,172.6750396059123,0,0,0,RESCUE_DENSITY_CAP
pair_135,SetB,593.8296018092655,434.1213027584054,39,4.919357872354734,0,1,1,RETRIEVED_TOP100
pair_136,SetB,386.5466175047172,624.6785633258728,-1,13.526138013272256,0,0,0,RESCUE_SCALE_ROT_MISMATCH
pair_137,SetB,415.67518684851154,448.6296086679527,-1,184.7178729653641,0,0,0,RESCUE_DENSITY_CAP
pair_138,SetB,523.1453003858609,492.7075582359928,-1,247.34008947590445,0,0,0,RESCUE_SCALE_ROT_MISMATCH
pair_139,SetB,468.5463345123536,617.0091115777661,-1,9.66102623234723,0,0,0,RESCUE_DENSITY_CAP
